Crops,States,Season,Area-2020-21(Lakh ha),Area-2021-22(Lakh ha),Area-2022-23(Lakh ha),Area-2023-24(Lakh ha),Area-2024-25(Lakh ha),Production-2020-21(Lakh Tonnes),Production-2021-22(Lakh Tonnes),Production-2022-23(Lakh Tonnes),Production-2023-24(Lakh Tonnes),Production-2024-25(Lakh Tonnes),Yield-2020-21(Kg/ha),Yield-2021-22(Kg/ha),Yield-2022-23(Kg/ha),Yield-2023-24(Kg/ha),Yield-2024-25(Kg/ha)
Barley,Jammu And Kashmir,Rabi,0.04,0.07,0.07,0.07,,0.02,0.05,0.05,0.05,,576.0,654.0,662.0,662.0,
Barley,Ladakh,Rabi,0.06,0.1,0.1,0.1,,0.04,0.22,0.17,0.17,,617.0,2200.0,1692.0,1692.0,
Barley,Madhya Pradesh,Rabi,0.25,0.16,0.24,0.19,0.24,0.48,0.32,0.39,0.33,0.51,1919.0,2030.0,1613.0,1740.0,2123.0
Barley,Maharashtra,Rabi,0.63,,,,,0.48,,,,,764.0,,,,
Barley,Nagaland,Rabi,0.01,,,,,0.01,,,,,1036.0,,,,
Barley,Punjab,Rabi,0.06,0.05,0.05,0.05,0.05,0.22,0.15,0.19,0.19,0.2,3777.0,3096.0,3859.0,3737.0,3790.0
Barley,Rajasthan,Rabi,2.7,2.0,3.31,2.83,3.3,9.36,7.11,11.26,10.36,11.02,3469.0,3547.0,3403.0,3665.0,3342.0
Barley,Sikkim,Rabi,,,,,,,,,,,1168.0,,1175.0,1181.0,
Barley,Uttar Pradesh,Rabi,1.57,1.65,1.93,1.7,1.77,4.88,5.01,5.92,4.72,5.39,3109.0,3034.0,3068.0,2779.0,3044.0
Barley,Uttarakhand,Rabi,0.22,0.2,0.2,0.18,0.14,0.28,0.29,0.28,0.25,0.2,1272.0,1464.0,1421.0,1368.0,1431.0
Barley,West Bengal,Rabi,,,,,,0.01,,,,,2139.0,1659.0,1860.0,2425.0,3000.0
